id,name_id,variable,departure,arrival,time,airport_dep,airport_arri,selection
19,1,"X(1,27)",10:40:00 AM,4:55:00 PM,06h 15m,Colombo(CMB),"Kuala Lumpur, Malaysia (KUL)",0
20,1,"X(2,8)",5:25:00 AM,1:55:00 AM,20h 30m,Dubai Int. (DXB),Dubai Int. (DXB),0
21,1,"X(2,9)",5:25:00 AM,10:50:00 AM,05h 25m,Dubai Int. (DXB),Dubai Int. (DXB),0
22,1,"X(2,10)",5:25:00 AM,9:10:00 PM,03h 45m,Dubai Int. (DXB),Dubai Int. (DXB),0
23,1,"X(3,8)",5:55:00 AM,1:55:00 AM,20h 00m,Dubai Int. (DXB),Dubai Int. (DXB),0
24,1,"X(3,9)",5:55:00 AM,10:50:00 AM,04h 55m,Dubai Int. (DXB),Dubai Int. (DXB),0
25,1,"X(3,10)",5:55:00 AM,9:10:00 PM,03h 15m,Dubai Int. (DXB),Dubai Int. (DXB),0
26,1,"X(4,8)",12:50:00 PM,1:55:00 AM,13h 05m,Dubai Int. (DXB),Dubai Int. (DXB),0
27,1,"X(4,9)",12:50:00 PM,10:50:00 AM,22h 00m,Dubai Int. (DXB),Dubai Int. (DXB),0
28,1,"X(4,10)",12:50:00 PM,9:10:00 PM,08h 20m,Dubai Int. (DXB),Dubai Int. (DXB),0
29,1,"X(5,8)",1:10:00 PM,1:55:00 AM,12h 45m,Dubai Int. (DXB),Dubai Int. (DXB),0
30,1,"X(5,9)",1:10:00 PM,10:50:00 AM,21h 40m,Dubai Int. (DXB),Dubai Int. (DXB),0
31,1,"X(5,10)",1:10:00 PM,9:10:00 PM,08h 00m,Dubai Int. (DXB),Dubai Int. (DXB),0
32,1,"X(6,8)",4:40:00 PM,1:55:00 AM,09h 15m,Dubai Int. (DXB),Dubai Int. (DXB),0
33,1,"X(6,9)",4:40:00 PM,10:50:00 AM,18h 10m,Dubai Int. (DXB),Dubai Int. (DXB),0
34,1,"X(6,10)",4:40:00 PM,9:10:00 PM,04h 30m,Dubai Int. (DXB),Dubai Int. (DXB),0
35,1,"X(7,8)",9:50:00 PM,1:55:00 AM,04h 05m,Dubai Int. (DXB),Dubai Int. (DXB),0
36,1,"X(7,9)",9:50:00 PM,10:50:00 AM,13h 00m,Dubai Int. (DXB),Dubai Int. (DXB),0
37,1,"X(7,10)",9:50:00 PM,9:10:00 PM,23h 20m,Dubai Int. (DXB),Dubai Int. (DXB),0
38,1,"X(11,15)",7:15:00 AM,9:15:00 PM,02h 00m,"Changi, Singapore (SIN)","Changi, Singapore (SIN)",0
39,1,"X(12,15)",7:40:00 AM,9:15:00 PM,01h 35m,"Changi, Singapore (SIN)","Changi, Singapore (SIN)",0
40,1,"X(13,15)",6:45:00 PM,9:15:00 PM,02h 30m,"Changi, Singapore (SIN)","Changi, Singapore (SIN)",1
41,1,"X(13,14)",6:45:00 PM,8:05:00 AM,13h 20m,"Changi, Singapore (SIN)","Changi, Singapore (SIN)",0
42,1,"X(16,21)",6:10:00 AM,2:10:00 AM,20h 00m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
43,1,"X(16,22)",6:10:00 AM,2:40:00 AM,20h 30m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
44,1,"X(17,21)",7:10:00 AM,2:10:00 AM,19h 00m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
45,1,"X(17,22)",7:10:00 AM,2:40:00 AM,19h 30m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
46,1,"X(18,21)",1:00:00 PM,2:10:00 AM,13h 10m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
47,1,"X(18,22)",1:00:00 PM,2:40:00 AM,13h 40m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
48,1,"X(19,21)",2:00:00 PM,2:10:00 AM,12h 10m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
49,1,"X(19,22)",2:00:00 PM,2:40:00 AM,12h 40m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
50,1,"X(20,21)",11:00:00 PM,2:10:00 AM,03h 10m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
51,1,"X(20,22)",11:00:00 PM,2:40:00 AM,03h 40m,"Doha, Qatar (DOH)","Doha, Qatar (DOH)",0
52,1,"X(23,30)",5:10:00 AM,8:50:00 AM,03h 40m,"Kuala Lumpur, Malaysia (KUL)","Kuala Lumpur, Malaysia (KUL)",0
